,movies_names,movies_director,movies_year,movies_lat,movies_long,movies_imdb,movies_genre
1,*batteries not included,Matthew Robbins,1987,40.7224453,-73.97865057,imdb.com/title/tt0092494,"c(Comedy, Family, Fantasy, Sci, Fi)"
2,12 Angry Men,Sidney Lumet,1957,40.7137,-74.0079,imdb.com/title/tt0050083,"c(Crime, Drama)"
3,13 Going on 30,Gary Winick,2004,40.75922049,-73.98462117,imdb.com/title/tt0337563,"c(Comedy, Fantasy, Romance)"
4,15 Minutes,John Herzfeld,2001,40.7661,-73.9696,imdb.com/title/tt0179626,"c(Action, Crime, Drama, Thriller)"
5,25th Hour,Spike Lee,2002,40.71179263,-74.01232839,imdb.com/title/tt0307901,Drama
6,25th Hour,Spike Lee,2002,40.77506559,-73.94312739,imdb.com/title/tt0307901,Drama
7,A Perfect Murder,Andrew Davis,1998,40.74607025,-73.95038009,imdb.com/title/tt0120787,"c(Crime, Drama, Thriller)"
8,A Thousand Clowns,Fred Coe,1965,40.68958731,-74.04379606,imdb.com/title/tt0059798,"c(Comedy, Drama, Romance)"
9,Across the Sea of Time,Stephen Low,1997,40.69899091,-74.03849602,imdb.com/title/tt0112286,"c(Adventure, Drama, Family, History)"
10,After Hours,Martin Scorsese,1985,40.7213,-74.0015,imdb.com/title/tt0088680,"c(Comedy, Crime, Drama, Thriller)"
11,Alice,Woody Allen,1990,40.7866,-73.9547,imdb.com/title/tt0099012,"c(Comedy, Romance)"
12,American Psycho,Mary Harron,2000,40.71621654,-73.99808049,imdb.com/title/tt0144084,"c(Crime, Drama)"
13,An Unmarried Woman,Paul Mazursky,1978,40.72255913,-74.00029063,imdb.com/title/tt0078444,"c(Comedy, Drama, Romance)"
14,Annie Hall,Woody Allen,1977,40.57360922,-73.97596836,imdb.com/title/tt0075686,"c(Comedy, Romance)"
15,Annie Hall,Woody Allen,1977,40.70420461,-74.0060252,imdb.com/title/tt0075686,"c(Comedy, Romance)"
16,Annie Hall,Woody Allen,1977,40.75780643,-73.95962834,imdb.com/title/tt0075686,"c(Comedy, Romance)"
17,Annie Hall,Woody Allen,1977,40.76890676,-73.96660209,imdb.com/title/tt0075686,"c(Comedy, Romance)"
18,Annie Hall,Woody Allen,1977,40.79163797,-73.96653771,imdb.com/title/tt0075686,"c(Comedy, Romance)"
19,Arthur,Steve Gordon,1981,40.763334,-73.973891,imdb.com/title/tt0082031,"c(Comedy, Romance)"
20,As Good As It Gets,James L. Brooks,1997,40.7354051,-73.99831653,imdb.com/title/tt0119822,"c(Comedy, Drama, Romance)"
21,Barefoot in the Park,Gene Saks,1967,40.7307223,-73.99651408,imdb.com/title/tt0061385,"c(Comedy, Romance)"
22,Barefoot in the Park,Gene Saks,1967,40.73311252,-74.00741458,imdb.com/title/tt0061385,"c(Comedy, Romance)"
23,Basquiat,Julian Schnabel,1996,40.71818443,-73.98885369,imdb.com/title/tt0115632,"c(Biography, Drama)"
24,Bed of Roses,Michael Goldenberg,1996,40.74324155,-74.00196433,imdb.com/title/tt0115644,"c(Romance, Drama)"
25,BIG,Penny Marshall,1988,40.764053,-73.972978,imdb.com/title/tt0094737,"c(Comedy, Drama, Family, Fantasy, Romance)"
26,Blue in the Face,"Paul Auster,Wayne Wang",1995,40.65749448,-73.97406936,imdb.com/title/tt0112541,Comedy
27,Breakfast at Tiffany's,Blake Edwards,1961,40.76251,-73.974142,imdb.com/title/tt0054698,"c(Comedy, Drama, Romance)"
28,Breakfast at Tiffany's,Blake Edwards,1961,40.77136061,-73.96643043,imdb.com/title/tt0054698,"c(Comedy, Drama, Romance)"
29,Breakfast at Tiffany's,Blake Edwards,1961,40.77321313,-73.97127986,imdb.com/title/tt0054698,"c(Comedy, Drama, Romance)"
30,Broadway Danny Rose,Woody Allen,1984,40.764073,-73.981288,imdb.com/title/tt0087003,Comedy
31,Cagney & Lacey,"Barbara Avedon,Barbara Corday,(more)",1982,40.66553541,-73.8412571,imdb.com/title/tt0083395,"c(Crime, Drama, Mystery, Thriller)"
32,Center Stage,Nicholas Hytner,2000,40.738641,-73.989774,imdb.com/title/tt0210616,"c(Drama, Music, Romance)"
33,Chasing Amy,Kevin Smith,1997,40.721516,-73.984616,imdb.com/title/tt0118842,"c(Comedy, Drama, Romance)"
34,Chelsea Walls,Ethan Hawke,2001,40.744287,-73.996497,imdb.com/title/tt0226935,Drama
35,Clockers,Spike Lee,1995,40.6841528,-73.98804903,imdb.com/title/tt0112688,"c(Crime, Drama, Mystery)"
36,Coogan's Bluff,Don Siegel,1968,40.85946031,-73.93408298,imdb.com/title/tt0062824,"c(Action, Comedy, Crime, Thriller)"
37,Cotton Comes to Harlem,Ossie Davis,1970,40.80650084,-73.93928647,imdb.com/title/tt0065579,"c(Action, Comedy)"
38,Crocodile Dundee,Peter Faiman,1986,40.7604,-73.9758,imdb.com/title/tt0090555,"c(Adventure, Comedy)"
39,Crocodile Dundee II,John Cornell,1988,40.713452,-74.004373,imdb.com/title/tt0092493,"c(Action, Adventure, Comedy)"
40,Crooklyn,Spike Lee,1994,40.6831114,-73.93205523,imdb.com/title/tt0109504,"c(Comedy, Drama)"
41,Crossing Delancey,Joan Micklin Silver,1988,40.71605,-73.989749,imdb.com/title/tt0094921,"c(Comedy, Romance)"
42,Cruising,William Friedkin,1980,40.72898243,-74.0008378,imdb.com/title/tt0080569,"c(Crime, Drama, Mystery, Thriller)"
43,Cruising,William Friedkin,1980,40.77920907,-73.9711833,imdb.com/title/tt0080569,"c(Crime, Drama, Mystery, Thriller)"
